"r" "g" "b" "grey"
"988974" 0.176470588235294 0.0901960784313725 0.0588235294117647 0.11241568627451
"2130" 0.317647058823529 0.0313725490196078 0 0.113392156862745
"732422" 0.0196078431372549 0.176470588235294 0.0431372549019608 0.11436862745098
"1114967" 0.337254901960784 0.0117647058823529 0.0666666666666667 0.115345098039216
"789068" 0.294117647058824 0.0392156862745098 0.0470588235294118 0.116325490196078
"3345212" 0.231372549019608 0.0431372549019608 0.2 0.117301960784314
"7216387" 0.00784313725490196 0.113725490196078 0.431372549019608 0.118278431372549
"663080" 0.152941176470588 0.117647058823529 0.0392156862745098 0.119258823529412
"78341" 0.0156862745098039 0.196078431372549 0.00392156862745098 0.120235294117647
"2232380" 0.231372549019608 0.0627450980392157 0.133333333333333 0.121211764705882
"1647641" 0.0941176470588235 0.141176470588235 0.0980392156862745 0.122188235294118
"6711" 0.211764705882353 0.101960784313725 0 0.12316862745098
"791361" 0.250980392156863 0.0745098039215686 0.0470588235294118 0.124145098039216
"1119548" 0.231372549019608 0.0823529411764706 0.0666666666666667 0.125121568627451
"534809" 0.0941176470588235 0.16078431372549 0.0313725490196078 0.126098039215686
"208910" 0.0509803921568627 0.188235294117647 0.0117647058823529 0.127078431372549
"2362949" 0.266666666666667 0.0549019607843137 0.141176470588235 0.128054901960784
"6716" 0.231372549019608 0.101960784313725 0 0.12903137254902
"1649934" 0.0509803921568627 0.176470588235294 0.0980392156862745 0.130007843137255
"465467" 0.227450980392157 0.101960784313725 0.0274509803921569 0.130988235294118
"2163043" 0.384313725490196 0.00392156862745098 0.129411764705882 0.131964705882353
"6947144" 0.27843137254902 0.00392156862745098 0.415686274509804 0.132941176470588
"339479" 0.0862745098039216 0.180392156862745 0.0196078431372549 0.133921568627451
"2493518" 0.301960784313725 0.0470588235294118 0.149019607843137 0.134898039215686
"593748" 0.325490196078431 0.0588235294117647 0.0352941176470588 0.135874509803922
"9009" 0.188235294117647 0.137254901960784 0 0.136850980392157
"596036" 0.262745098039216 0.0941176470588235 0.0352941176470588 0.13783137254902
"11297" 0.125490196078431 0.172549019607843 0 0.138807843137255
"5708324" 0.137254901960784 0.101960784313725 0.341176470588235 0.13978431372549
"9177394" 0.192156862745098 0.0352941176470588 0.549019607843137 0.140760784313726
"1711161" 0.219607843137255 0.109803921568627 0.101960784313725 0.141741176470588
"267854" 0.301960784313725 0.0862745098039216 0.0156862745098039 0.142717647058824
"139578" 0.223529411764706 0.129411764705882 0.00784313725490196 0.143694117647059
"3608648" 0.27843137254902 0.0627450980392157 0.215686274509804 0.144670588235294
"141866" 0.16078431372549 0.164705882352941 0.00784313725490196 0.145650980392157
"4067399" 0.274509803921569 0.0627450980392157 0.243137254901961 0.146627450980392
"341777" 0.0627450980392157 0.215686274509804 0.0196078431372549 0.147603921568627
"15878" 0.0196078431372549 0.243137254901961 0 0.14858431372549
"854886" 0.396078431372549 0.0431372549019608 0.0509803921568627 0.149560784313725
"270147" 0.258823529411765 0.12156862745098 0.0156862745098039 0.150537254901961
"598334" 0.23921568627451 0.129411764705882 0.0352941176470588 0.151513725490196
"2956855" 0.211764705882353 0.117647058823529 0.176470588235294 0.152494117647059
"2372116" 0.0745098039215686 0.196078431372549 0.141176470588235 0.153470588235294
"3156766" 0.113725490196078 0.168627450980392 0.188235294117647 0.154447058823529
"344070" 0.0196078431372549 0.250980392156863 0.0196078431372549 0.155423529411765
"528992" 0.372549019607843 0.0705882352941176 0.0313725490196078 0.156403921568627
"400716" 0.294117647058824 0.113725490196078 0.0235294117647059 0.157380392156863
"3869786" 0.349019607843137 0.0470588235294118 0.231372549019608 0.158356862745098
"3741510" 0.270588235294118 0.0901960784313725 0.223529411764706 0.159333333333333
"274728" 0.152941176470588 0.192156862745098 0.0156862745098039 0.160313725490196
"3743798" 0.207843137254902 0.125490196078431 0.223529411764706 0.161290196078431
"3615522" 0.129411764705882 0.168627450980392 0.215686274509804 0.162266666666667
"605203" 0.0705882352941176 0.235294117647059 0.0352941176470588 0.163247058823529
"531285" 0.329411764705882 0.105882352941176 0.0313725490196078 0.164223529411765
"859472" 0.309803921568627 0.113725490196078 0.0509803921568627 0.1652
"1589764" 0.0117647058823529 0.258823529411765 0.0941176470588235 0.166176470588235
"1774686" 0.364705882352941 0.0784313725490196 0.105882352941176 0.167156862745098
"787842" 0.505882352941176 0.0196078431372549 0.0470588235294118 0.168133333333333
"14483771" 0.227450980392157 0.00392156862745098 0.866666666666667 0.169109803921569
"476932" 0.0117647058823529 0.27843137254902 0.0274509803921569 0.170086274509804
"607496" 0.0274509803921569 0.270588235294118 0.0352941176470588 0.171066666666667
"77115" 0.227450980392157 0.176470588235294 0.00392156862745098 0.172043137254902
"4002648" 0.341176470588235 0.0745098039215686 0.23921568627451 0.173019607843137
"79403" 0.164705882352941 0.211764705882353 0.00392156862745098 0.174
"5485" 0.423529411764706 0.0823529411764706 0 0.174976470588235
